통계표ID,통계표명,지역,cleaning1,cleaning2,연령대,cleaning3,cleaning4,구분,대상
DT_1F02013,제조업 재고율,,제조업 재고율,제조업 재고율,,제조업 재고율,제조업 재고율,산업별,재고율
DT_1F02016,내수/수출 광공업출하지수(2020=100),,내수/수출 광공업출하지수(2020=100),내수/수출 광공업출하지수(2020=100),,내수/수출 광공업출하지수(2020=100),내수/수출 광공업출하지수(2020=100),"내수별, 수출별",광공업 출하
DT_1F02031,광역경제권/산업별지수(2020=100),,광역경제권/산업별지수(2020=100),광역경제권/산업별지수(2020=100),,광역경제권/산업별지수(2020=100),광역경제권/산업별지수(2020=100),산업별,산업별 지수
DT_1F02061,명절과조업효과조정 광공업생산지수(2020=100),,명절과조업효과조정 광공업생산지수(2020=100),명절과조업효과조정 광공업생산지수(2020=100),,명절과조업효과조정 광공업생산지수(2020=100),명절과조업효과조정 광공업생산지수(2020=100),기준없음,광공업생산지수
DT_1F32001,제조업 생산능력 및 가동률지수(2020=100),,제조업 생산능력 및 가동률지수(2020=100),제조업 생산능력 및 가동률지수(2020=100),,제조업 생산능력 및 가동률지수(2020=100),제조업 생산능력 및 가동률지수(2020=100),기준없음,"생산능력, 가동률지수"
DT_1F32002,제조업 평균가동률,,제조업 평균가동률,제조업 평균가동률,,제조업 평균가동률,제조업 평균가동률,산업별,제조업 가동률
INH_1F02001,광공업생산지수(시도),,광공업생산지수(시도),광공업생산지수(시도),,광공업생산지수(시도),광공업생산지수(시도),행정구역별,광공업생산지수
DT_1011301,작성기관별/담당정도별 전체 통계 관련인력,,작성기관별/담당정도별 전체 통계 관련인력,작성기관별/담당정도별 전체 통계 관련인력,,작성기관별/담당정도별 전체 통계 관련인력,작성기관별/담당정도별 전체 통계 관련인력,"작성기관별, 담당정도별",전체 통계 관련인력
DT_1011302,작성기관별 통계인력,,작성기관별 통계인력,작성기관별 통계인력,,작성기관별 통계인력,작성기관별 통계인력,작성기관별,통계인력
DT_1011303,작성기관별/담당업무별 통계인력,,작성기관별/담당업무별 통계인력,작성기관별/담당업무별 통계인력,,작성기관별/담당업무별 통계인력,작성기관별/담당업무별 통계인력,"작성기관별, 담당업무별",통계인력
DT_1011305,작성기관별/담당정도별/종사형태별 통계인력,,작성기관별/담당정도별/종사형태별 통계인력,작성기관별/담당정도별/종사형태별 통계인력,,작성기관별/담당정도별/종사형태별 통계인력,작성기관별/담당정도별/종사형태별 통계인력,"작성기관별, 담당정도별, 종사형태별",통계인력
DT_1011306,작성기관별/성별 통계인력,,작성기관별/성별 통계인력,작성기관별/성별 통계인력,,작성기관별/성별 통계인력,작성기관별/성별 통계인력,"작성기관별, 성별",통계인력
DT_10113061,작성기관별/연령별 통계인력,,작성기관별/연령별 통계인력,작성기관별/연령별 통계인력,,작성기관별/연령별 통계인력,작성기관별/연령별 통계인력,"작성기관별, 연령별",통계인력
DT_1011307,작성기관별/종사형태별/성별 통계인력,,작성기관별/종사형태별/성별 통계인력,작성기관별/종사형태별/성별 통계인력,,작성기관별/종사형태별/성별 통계인력,작성기관별/종사형태별/성별 통계인력,"작성기관별, 종사형태별, 성별",통계인력
DT_1011308,작성기관별/교육정도별 통계인력,,작성기관별/교육정도별 통계인력,작성기관별/교육정도별 통계인력,,작성기관별/교육정도별 통계인력,작성기관별/교육정도별 통계인력,"작성기관별, 교육정도별",통계인력
DT_1011309,작성기관별/경력별 통계인력,,작성기관별/경력별 통계인력,작성기관별/경력별 통계인력,,작성기관별/경력별 통계인력,작성기관별/경력별 통계인력,"작성기관별, 경력별",통계인력
DT_1011310,작성기관별/전공학과별 통계인력,,작성기관별/전공학과별 통계인력,작성기관별/전공학과별 통계인력,,작성기관별/전공학과별 통계인력,작성기관별/전공학과별 통계인력,"작성기관별, 전공학과별",통계인력
DT_1011311,작성기관별/국내 통계교육 이수기간별 통계인력,,작성기관별/국내 통계교육 이수기간별 통계인력,작성기관별/국내 통계교육 이수기간별 통계인력,,작성기관별/국내 통계교육 이수기간별 통계인력,작성기관별/국내 통계교육 이수기간별 통계인력,"작성기관별, 국내 통계교육 이수기간별",통계인력
DT_1011312,작성기관별/국외 통계교육 이수기간별 통계인력,,작성기관별/국외 통계교육 이수기간별 통계인력,작성기관별/국외 통계교육 이수기간별 통계인력,,작성기관별/국외 통계교육 이수기간별 통계인력,작성기관별/국외 통계교육 이수기간별 통계인력,"작성기관별, 국외 통계교육 이수기간별",통계인력
DT_1011313,작성기관별/학위별 통계인력,,작성기관별/학위별 통계인력,작성기관별/학위별 통계인력,,작성기관별/학위별 통계인력,작성기관별/학위별 통계인력,"작성기관별, 학위별",통계인력
DT_1011314,작성기관별/통계예산별 현황,,작성기관별/통계예산별 현황,작성기관별/통계예산별 현황,,작성기관별/통계예산별 현황,작성기관별/통계예산별 현황,"작성기관별, 통계예산별",현황
DT_1011315,작성기관별/교육정도별 통계인력,,작성기관별/교육정도별 통계인력,작성기관별/교육정도별 통계인력,,작성기관별/교육정도별 통계인력,작성기관별/교육정도별 통계인력,"작성기관별, 교육정도별",통계인력
DT_1011316,작성기관별/전공학과별 통계인력,,작성기관별/전공학과별 통계인력,작성기관별/전공학과별 통계인력,,작성기관별/전공학과별 통계인력,작성기관별/전공학과별 통계인력,"작성기관별, 전공학과별",통계인력
DT_1011318,작성기관별 승인통계예산 현황,,작성기관별 승인통계예산 현황,작성기관별 승인통계예산 현황,,작성기관별 승인통계예산 현황,작성기관별 승인통계예산 현황,작성기관별,승인통계예산
DT_1011319,작성기관별/통계교육 미이수사유별 통계인력,,작성기관별/통계교육 미이수사유별 통계인력,작성기관별/통계교육 미이수사유별 통계인력,,작성기관별/통계교육 미이수사유별 통계인력,작성기관별/통계교육 미이수사유별 통계인력,"작성기관별, 통계교육 미이수사유별",통계인력
DT_1011320,작성기관별/취득한 통계관련 자격증별 통계인력,,작성기관별/취득한 통계관련 자격증별 통계인력,작성기관별/취득한 통계관련 자격증별 통계인력,,작성기관별/취득한 통계관련 자격증별 통계인력,작성기관별/취득한 통계관련 자격증별 통계인력,"작성기관별, 취득한 자격증별",통계인력
DT_1011321,작성기관별/통계활용수준별 통계인력,,작성기관별/통계활용수준별 통계인력,작성기관별/통계활용수준별 통계인력,,작성기관별/통계활용수준별 통계인력,작성기관별/통계활용수준별 통계인력,"작성기관별, 통계활용수준별",통계인력
DT_1011322,작성기관별/종사형태별/통계교육 이수기간별 통계인력,,작성기관별/종사형태별/통계교육 이수기간별 통계인력,작성기관별/종사형태별/통계교육 이수기간별 통계인력,,작성기관별/종사형태별/통계교육 이수기간별 통계인력,작성기관별/종사형태별/통계교육 이수기간별 통계인력,"작성기관별, 종사형태별, 통계교육 이수기간별",통계인력
DT_1011391,작성기관별/담당업무별 전체인력(~2000),,작성기관별/담당업무별 전체인력(~2000),작성기관별/담당업무별 전체인력(~2000),,작성기관별/담당업무별 전체인력(~2000),작성기관별/담당업무별 전체인력(~2000),"작성기관별, 담당업무별",전체인력
DT_1011392,작성기관별/종사형태별 전체인력(~2000),,작성기관별/종사형태별 전체인력(~2000),작성기관별/종사형태별 전체인력(~2000),,작성기관별/종사형태별 전체인력(~2000),작성기관별/종사형태별 전체인력(~2000),"작성기관별, 종사형태별",전체인력
DT_1011393,작성기관별/성별 전체인력(~2000),,작성기관별/성별 전체인력(~2000),작성기관별/성별 전체인력(~2000),,작성기관별/성별 전체인력(~2000),작성기관별/성별 전체인력(~2000),"작성기관별, 성별",전체인력
DT_1011394,작성기관별/교육정도별 전체인력(~2000),,작성기관별/교육정도별 전체인력(~2000),작성기관별/교육정도별 전체인력(~2000),,작성기관별/교육정도별 전체인력(~2000),작성기관별/교육정도별 전체인력(~2000),"작성기관별, 교육정도별",전체인력
DT_1011395,작성기관별/경력별 전체인력(~2000),,작성기관별/경력별 전체인력(~2000),작성기관별/경력별 전체인력(~2000),,작성기관별/경력별 전체인력(~2000),작성기관별/경력별 전체인력(~2000),"작성기관별, 경력별",전체인력
DT_1011396,작성기관별/국내 통계교육 이수기간별 전체인력(~2000),,작성기관별/국내 통계교육 이수기간별 전체인력(~2000),작성기관별/국내 통계교육 이수기간별 전체인력(~2000),,작성기관별/국내 통계교육 이수기간별 전체인력(~2000),작성기관별/국내 통계교육 이수기간별 전체인력(~2000),"작성기관별, 국내 통계교육 이수기간별",전체인력
DT_1011397,작성기관별/국외 통계교육 이수기간별 전체인력(~2000),,작성기관별/국외 통계교육 이수기간별 전체인력(~2000),작성기관별/국외 통계교육 이수기간별 전체인력(~2000),,작성기관별/국외 통계교육 이수기간별 전체인력(~2000),작성기관별/국외 통계교육 이수기간별 전체인력(~2000),"작성기관별, 국외 통계교육 이수기간별",전체인력
DT_1011398,작성기관별/학위별 전체인력(~2000),,작성기관별/학위별 전체인력(~2000),작성기관별/학위별 전체인력(~2000),,작성기관별/학위별 전체인력(~2000),작성기관별/학위별 전체인력(~2000),"작성기관별, 학위별",전체인력
DT_1G13001,산업세분류 및 조직형태별 총괄,,산업세분류 및 조직형태별 총괄,산업세분류 및 조직형태별 총괄,,산업세분류 및 조직형태별 총괄,산업세분류 및 조직형태별 총괄,"산업별, 조직형태별","산업, 조직형태"
DT_1G13002,산업세분류 및 자본금규모별 총괄,,산업세분류 및 자본금규모별 총괄,산업세분류 및 자본금규모별 총괄,,산업세분류 및 자본금규모별 총괄,산업세분류 및 자본금규모별 총괄,"산업별, 자본금규모별","산업세분류, 자본금규모"
DT_1G13003,산업세분류 및 종사규모별 총괄,,산업세분류 및 종사규모별 총괄,산업세분류 및 종사규모별 총괄,,산업세분류 및 종사규모별 총괄,산업세분류 및 종사규모별 총괄,산업별,"산업세분류, 종사규모"
DT_1G13004,산업세분류 및 매출액규모별 총괄,,산업세분류 및 매출액규모별 총괄,산업세분류 및 매출액규모별 총괄,,산업세분류 및 매출액규모별 총괄,산업세분류 및 매출액규모별 총괄,"산업세분류별, 매출액규모별",매출액규모
DT_1G13005,산업세분류/종사자규모/직종별 종사자수 및 급여액,,산업세분류/종사자규모/직종별 종사자수 및 급여액,산업세분류/종사자규모/직종별 종사자수 및 급여액,,산업세분류/종사자규모/직종별 종사자수 및 급여액,산업세분류/종사자규모/직종별 종사자수 및 급여액,"산업세분류별, 직종별","산업세분류, 종사자규모, 직종별, 종사자수, 급여액"
DT_1G13006,산업세분류/종사자규모별 공사비용,,산업세분류/종사자규모별 공사비용,산업세분류/종사자규모별 공사비용,,산업세분류/종사자규모별 공사비용,산업세분류/종사자규모별 공사비용,"산업세분류별, 종사자규모별","공사비용, 종사자 규모"
DT_1G13007,산업세분류/종사자규모별 부가가치,,산업세분류/종사자규모별 부가가치,산업세분류/종사자규모별 부가가치,,산업세분류/종사자규모별 부가가치,산업세분류/종사자규모별 부가가치,"산업세분류별, 종사자규모별",부가가치
DT_1G13101,"공사종류/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류별, 발주자별","수주액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G13104,"공사지역/공사종류별 수주액,기성액,원도급 및 하도급공사 기성액",,"공사지역/공사종류별 수주액,기성액,원도급 및 하도급공사 기성액","공사지역/공사종류별 수주액,기성액,원도급 및 하도급공사 기성액",,"공사지역/공사종류별 수주액,기성액,원도급 및 하도급공사 기성액","공사지역/공사종류별 수주액,기성액,원도급 및 하도급공사 기성액",공사종류별,"수주액, 기성액"
DT_1G13106,"공사지역/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,",,"공사지역/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,","공사지역/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,",,"공사지역/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,","공사지역/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,",공사 발주자별,"수주액, 기성액"
DT_1G13107,"공사종류/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류별, 등록업종별","수주액, 기성액, 원도급 공사 기성액, 하도급공사 기성액, 미기성액"
DT_1G13108,"등록업종/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"등록업종/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"등록업종/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종/발주자별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종별, 발주자별","수주액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G13109,"공사지역/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사지역/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사지역/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사지역/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사지역/등록업종별 수주액,기성액,원도급 및 하도급공사 기성액,미기성액","공사 지역별, 등록 업종별","수주액, 기성액, 원도급 공사 기성액, 하도급공사 기성액, 미기성액"
DT_1G13201,산업세분류 및 조직형태별 해외건설 총괄,,산업세분류 및 조직형태별 해외건설 총괄,산업세분류 및 조직형태별 해외건설 총괄,,산업세분류 및 조직형태별 해외건설 총괄,산업세분류 및 조직형태별 해외건설 총괄,"산업세분류별, 조직형태별",해외건설
DT_1G13202,산업세분류 및 자본금규모별 해외건설 총괄,,산업세분류 및 자본금규모별 해외건설 총괄,산업세분류 및 자본금규모별 해외건설 총괄,,산업세분류 및 자본금규모별 해외건설 총괄,산업세분류 및 자본금규모별 해외건설 총괄,"산업세분류별, 자본금규모별",해외건설
DT_1G13203,산업세분류 및 종사자규모별 해외건설 총괄,,산업세분류 및 종사자규모별 해외건설 총괄,산업세분류 및 종사자규모별 해외건설 총괄,,산업세분류 및 종사자규모별 해외건설 총괄,산업세분류 및 종사자규모별 해외건설 총괄,"산업세분류별, 종사자규모별",해외건설
DT_1G13204,산업세분류 및 매출액규모별 해외건설 총괄,,산업세분류 및 매출액규모별 해외건설 총괄,산업세분류 및 매출액규모별 해외건설 총괄,,산업세분류 및 매출액규모별 해외건설 총괄,산업세분류 및 매출액규모별 해외건설 총괄,"산업세분류별, 매출액규모별",해외건설
DT_1G13301,"공사지역/공사종류별 수주액,기성액,미기성액(해외건설)",,"공사지역/공사종류별 수주액,기성액,미기성액(해외건설)","공사지역/공사종류별 수주액,기성액,미기성액(해외건설)",,"공사지역/공사종류별 수주액,기성액,미기성액(해외건설)","공사지역/공사종류별 수주액,기성액,미기성액(해외건설)",공사종류별,"수주액, 기성액, 미기성액"
DT_1G13303,"공사지역/등록업종별 수주액,기성액,미기성액(해외건설)",,"공사지역/등록업종별 수주액,기성액,미기성액(해외건설)","공사지역/등록업종별 수주액,기성액,미기성액(해외건설)",,"공사지역/등록업종별 수주액,기성액,미기성액(해외건설)","공사지역/등록업종별 수주액,기성액,미기성액(해외건설)","공사지역별, 등록업종별","공사, 등록업종, 수주액, 기성액, 미기성액"
DT_1G150001,산업세분류별/조직형태별 총괄,,산업세분류별/조직형태별 총괄,산업세분류별/조직형태별 총괄,,산업세분류별/조직형태별 총괄,산업세분류별/조직형태별 총괄,"산업별, 조직형태별","산업세분류, 조직형태"
DT_1G150002,산업세분류별/자본금규모별 총괄,,산업세분류별/자본금규모별 총괄,산업세분류별/자본금규모별 총괄,,산업세분류별/자본금규모별 총괄,산업세분류별/자본금규모별 총괄,"산업세분류별, 자본금규모별",자본금 규모
DT_1G150003,산업세분류별/종사자규모별 총괄,,산업세분류별/종사자규모별 총괄,산업세분류별/종사자규모별 총괄,,산업세분류별/종사자규모별 총괄,산업세분류별/종사자규모별 총괄,"산업세분류별, 종사자규모별",종사자
DT_1G150004,산업세분류별/매출액규모별 총괄,,산업세분류별/매출액규모별 총괄,산업세분류별/매출액규모별 총괄,,산업세분류별/매출액규모별 총괄,산업세분류별/매출액규모별 총괄,"산업세분류별, 매출액규모별",매출액 규모
DT_1G150005,"산업세분류별/종사자규모별/직종별 종사자수,급여액",,"산업세분류별/종사자규모별/직종별 종사자수,급여액","산업세분류별/종사자규모별/직종별 종사자수,급여액",,"산업세분류별/종사자규모별/직종별 종사자수,급여액","산업세분류별/종사자규모별/직종별 종사자수,급여액","산업별, 종사자규모별, 직종별","종사자수, 급여액"
DT_1G150006,산업세분류별/종사자규모별 공사비용,,산업세분류별/종사자규모별 공사비용,산업세분류별/종사자규모별 공사비용,,산업세분류별/종사자규모별 공사비용,산업세분류별/종사자규모별 공사비용,"산업세분류별, 종사자규모별","공사비용, 종사자 규모"
DT_1G150007,산업세분류별/종사자규모별 부가가치,,산업세분류별/종사자규모별 부가가치,산업세분류별/종사자규모별 부가가치,,산업세분류별/종사자규모별 부가가치,산업세분류별/종사자규모별 부가가치,"산업세분류별, 종사자규모별",부가가치
DT_1G15001,산업세분류 및 조직형태별 총괄,,산업세분류 및 조직형태별 총괄,산업세분류 및 조직형태별 총괄,,산업세분류 및 조직형태별 총괄,산업세분류 및 조직형태별 총괄,"산업별, 조직형태별","산업세분류, 조직형태"
DT_1G15002,산업세분류 및 자본금규모별 총괄,,산업세분류 및 자본금규모별 총괄,산업세분류 및 자본금규모별 총괄,,산업세분류 및 자본금규모별 총괄,산업세분류 및 자본금규모별 총괄,"산업별, 자본금 규모별","산업세분류, 자본금규모"
DT_1G15003,산업세분류 및 종사규모별 총괄,,산업세분류 및 종사규모별 총괄,산업세분류 및 종사규모별 총괄,,산업세분류 및 종사규모별 총괄,산업세분류 및 종사규모별 총괄,"산업세분류별, 종사규모별","산업세분류, 종사규모"
DT_1G15004,산업세분류 및 매출액규모별 총괄,,산업세분류 및 매출액규모별 총괄,산업세분류 및 매출액규모별 총괄,,산업세분류 및 매출액규모별 총괄,산업세분류 및 매출액규모별 총괄,"산업세분류별, 매출액규모별",매출액규모
DT_1G15005,산업세분류/종사자규모/직종별 종사자수 및 급여액,,산업세분류/종사자규모/직종별 종사자수 및 급여액,산업세분류/종사자규모/직종별 종사자수 및 급여액,,산업세분류/종사자규모/직종별 종사자수 및 급여액,산업세분류/종사자규모/직종별 종사자수 및 급여액,"산업세분류별, 직종별","산업세분류, 직종별 종사자수, 급여액"
DT_1G15006,산업세분류/종사자규모별 공사비용,,산업세분류/종사자규모별 공사비용,산업세분류/종사자규모별 공사비용,,산업세분류/종사자규모별 공사비용,산업세분류/종사자규모별 공사비용,"산업세분류별, 종사자규모별","공사비용, 종사자 규모"
DT_1G15007,산업세분류/종사자규모별 부가가치,,산업세분류/종사자규모별 부가가치,산업세분류/종사자규모별 부가가치,,산업세분류/종사자규모별 부가가치,산업세분류/종사자규모별 부가가치,"산업세분류별, 종사자규모별",부가가치
DT_1G150101,"공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류별, 발주자별","계약액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G150104,"공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액",,"공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액","공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액",,"공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액","공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액",공사종류별,"계약액, 기성액"
DT_1G150106,"공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액",,"공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액","공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액",,"공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액","공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액",공사 발주자별,"계약액, 기성액"
DT_1G150107,"공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류별, 등록업종별","계약액, 기성액, 원도급 및 하도급공사 미기성액"
DT_1G150108,"등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종별, 발주자별","계약액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G150109,"공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사 지역별, 등록 업종별","계약액, 기성액, 원도급 공사 기성액, 하도급 공사 기성액, 미기성액"
DT_1G150201,산업세분류별/조직형태별 해외건설 총괄,,산업세분류별/조직형태별 해외건설 총괄,산업세분류별/조직형태별 해외건설 총괄,,산업세분류별/조직형태별 해외건설 총괄,산업세분류별/조직형태별 해외건설 총괄,"산업세분류별, 조직형태별",해외건설
DT_1G150202,산업세분류별 /자본금규모별 해외건설 총괄,,산업세분류별 /자본금규모별 해외건설 총괄,산업세분류별 /자본금규모별 해외건설 총괄,,산업세분류별 /자본금규모별 해외건설 총괄,산업세분류별 /자본금규모별 해외건설 총괄,"산업세분류별, 자본금규모별",해외건설
DT_1G150203,산업세분류별/종사자규모별 해외건설 총괄,,산업세분류별/종사자규모별 해외건설 총괄,산업세분류별/종사자규모별 해외건설 총괄,,산업세분류별/종사자규모별 해외건설 총괄,산업세분류별/종사자규모별 해외건설 총괄,"산업세분류별, 종사자규모별",해외건설
DT_1G150204,산업세분류별/매출액규모별 해외건설 총괄,,산업세분류별/매출액규모별 해외건설 총괄,산업세분류별/매출액규모별 해외건설 총괄,,산업세분류별/매출액규모별 해외건설 총괄,산업세분류별/매출액규모별 해외건설 총괄,"산업세분류별, 매출액규모별",해외건설
DT_1G150301,"공사지역/공사종류별 계약액,기성액,미기성액(해외건설)",,"공사지역/공사종류별 계약액,기성액,미기성액(해외건설)","공사지역/공사종류별 계약액,기성액,미기성액(해외건설)",,"공사지역/공사종류별 계약액,기성액,미기성액(해외건설)","공사지역/공사종류별 계약액,기성액,미기성액(해외건설)",공사종류별,"계약액, 기성액, 미기성액"
DT_1G150303,"공사지역/등록업종별 계약액,기성액,미기성액(해외건설)",,"공사지역/등록업종별 계약액,기성액,미기성액(해외건설)","공사지역/등록업종별 계약액,기성액,미기성액(해외건설)",,"공사지역/등록업종별 계약액,기성액,미기성액(해외건설)","공사지역/등록업종별 계약액,기성액,미기성액(해외건설)","공사지역별, 등록업종별","계약액, 기성액, 미기성액"
DT_1G15101,"공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류별, 발주자별","계약액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G15104,"공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액",,"공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액","공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액",,"공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액","공사지역/공사종류별 계약액,기성액,원도급 및 하도급공사 기성액",공사종류별,"계약액, 기성액"
DT_1G15106,"공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액",,"공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액","공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액",,"공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액","공사지역/발주자별 계약액, 기성액, 원도급 및 하도급공사 기성액",공사별,"계약액, 기성액"
DT_1G15107,"공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사종류별, 등록업종별","계약액, 기성액, 원도급 및 하도급공사 미기성액"
DT_1G15108,"등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종/발주자별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","등록업종별, 발주자별","계약액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G15109,"공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액",,"공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사지역/등록업종별 계약액,기성액,원도급 및 하도급공사 기성액,미기성액","공사 지역별, 등록 업종별","계약액, 기성액, 원도급 및 하도급공사 기성액, 미기성액"
DT_1G15201,산업세분류 및 조직형태별 해외건설 총괄,,산업세분류 및 조직형태별 해외건설 총괄,산업세분류 및 조직형태별 해외건설 총괄,,산업세분류 및 조직형태별 해외건설 총괄,산업세분류 및 조직형태별 해외건설 총괄,"산업별, 조직형태별",해외건설
DT_1G15202,산업세분류 및 자본금규모별 해외건설 총괄,,산업세분류 및 자본금규모별 해외건설 총괄,산업세분류 및 자본금규모별 해외건설 총괄,,산업세분류 및 자본금규모별 해외건설 총괄,산업세분류 및 자본금규모별 해외건설 총괄,"산업세분류별, 자본금규모별",해외건설
